35AD 0000 1E2A 2CF5 371D 0000 0000 1FC5 13BD 1EE3 0000 1E55 0000 18B1 0000 5BC3 0000 1B28 0000 17E1 13F8 25BF 0000 0000
35AF FFF6 1C53 2CF5 371D E08A FFFA 1FC4 13B3 1EE5 FFB0 1D80 FFD1 1733 DB3F 5BA0 FFFE 1AA9 FFFB 17E8 13FC 25BF EC8B FFFA
35B2 FFF6 1C4B 2CF4 3718 E086 FFFA 1FC2 13B8 1EE8 FFB0 1D7E FFD1 172E DB52 5BB3 FFFE 1AA2 FFFB 17F3 140A 25BB EC88 FFFA
35B2 FFF6 1C42 2CF4 3709 E07B FFFA 1FB8 13BF 1EE8 FFB0 1D75 FFD1 172B DB69 5BC9 FFFE 1AA0 FFFB 17F7 140D 25B6 EC88 FFFA
35B0 FFF6 1C54 2CF5 36F6 E06C FFFA 1FAC 13C0 1EE7 FFB0 1D72 FFD1 1731 DB77 5BD5 FFFE 1AA2 FFFB 17F7 140C 25C1 EC8B FFFA
35AC FFF6 1C5E 2CF8 36E5 E05F FFFA 1FA2 13C9 1EE6 FFB0 1D6E FFD1 173C DB7C 5BD8 FFFE 1AA5 FFFB 17E5 13FE 25B6 EC8F FFFA
35AB FFF6 1C5E 2CF8 36E2 E05E FFFA 1FA3 13C9 1EE6 FFB0 1D70 FFD1 173E DB7D 5BD8 FFFE 1AA4 FFFB 17D6 13FA 25BB EC8E FFFA
35AB FFF6 1C5D 2CF8 36E2 E05E FFFA 1FA3 13CF 1EE3 FFB0 1D6F FFD1 1745 DB7E 5BDA FFFE 1AA4 FFFB 17DA 1400 25BD EC8E FFFA
35AB FFF6 1C5D 2CF8 36E2 E05E FFFA 1FA3 13CF 1EE3 FFB0 1D70 FFD1 1745 DB7D 5BDA FFFE 1AA2 FFFB 17D5 1400 25BD EC8F FFFA
35AB FFF6 1C5D 2CF7 36E2 E05E FFFA 1FA4 13D6 1EE5 FFB0 1D70 FFD1 1744 DB7D 5BD9 FFFE 1AA0 FFFB 17D2 13FF 25B9 EC8F FFFA
35AB FFF6 1C5D 2CF8 36E2 E05E FFFA 1FA4 13D6 1EE5 FFB0 1D6C FFD1 1745 DB7F 5BD8 FFFE 1A9F FFFB 17D3 13FF 25B2 EC8F FFFA
35AB FFF6 1C5F 2CF8 36E3 E05E FFFA 1FA4 13D2 1EE3 FFB0 1D6C FFD1 1743 DB7C 5BD8 FFFE 1A9F FFFB 17D3 13FB 25B2 EC8F FFFA
35AC FFF6 1C5F 2CF8 36E3 E05E FFFA 1FA4 13D0 1EE6 FFB0 1D68 FFD1 1743 DB7F 5BD7 FFFE 1A9F FFFB 17D7 13FD 25B0 EC8E FFFA
35AC FFF6 1C60 2CF8 36E2 E05E FFFA 1FA5 13D5 1EE4 FFB0 1D6F FFD1 1746 DB7F 5BD8 FFFE 1AA1 FFFB 17D7 13FD 25B0 EC8F FFFA
35A9 FFF6 1C85 2D02 36F2 E068 FFFA 1FB0 13D5 1EE2 FFB0 1D6E FFD1 175A DB7E 5BD8 FFFE 1AA6 FFFB 17D1 13FA 25B5 EC9E FFFA
35C0 FFF6 1C85 2D02 3700 E073 FFFA 1FB6 140A 1EF8 FFB0 1DC1 FFD1 175C DB8F 5BFF FFFE 1AA9 FFFB 18C7 14FA 25AD EC9E FFFA
35C0 FFF6 1C9A 2D05 36DB E061 FFFA 1FA2 1451 1EF8 FFB0 1DC1 FFD1 17C2 DBD5 5C1B FFFE 1A62 FFFB 18C7 14FA 2595 EC9F FFFA
35AB FFF6 1C98 2D05 36C4 E04D FFFA 1FA2 1451 1EE8 FFB0 1D61 FFD1 17BC DBD8 5C31 FFFE 1A55 FFFB 1818 14A5 2589 EC9F FFFA
35AB FFF6 1C90 2CFB 368B E01C FFFA 1F7A 1447 1EE8 FFB0 1D2C FFD1 1785 DC02 5C46 FFFE 1A8F FFFB 1818 14A5 256D EC91 FFFA
35AB FFF6 1C90 2CFE 368E E022 FFFA 1F86 144C 1EE5 FFB0 1D2C FFD1 1797 DC02 5C43 FFFE 1A8F FFFB 17A7 1425 255F EC94 FFFA
35AA FFF6 1C8F 2D01 36BC E046 FFFA 1FA2 146F 1EE5 FFB0 1D49 FFD1 17C7 DBED 5C2E FFFE 1A65 FFFB 1781 1415 256D EC97 FFFA
35AE FFF6 1C87 2D01 36DF E062 FFFA 1FB9 146F 1EE5 FFB0 1D54 FFD1 17C5 DBBA 5C01 FFFE 1A3B FFFB 1763 1418 2572 EC97 FFFA
35AC FFF6 1C84 2CFD 36FF E07A FFFA 1FCA 1471 1EE2 FFB0 1D59 FFD1 17C5 DB88 5BD4 FFFE 1A31 FFFB 1771 142C 2582 EC91 FFFA
35AF FFF6 1C68 2CFD 3707 E081 FFFA 1FD0 146F 1EE4 FFB0 1D5E FFD1 17B7 DB69 5BB6 FFFE 1A27 FFFB 178E 144F 2582 EC90 FFFA
35B6 FFF6 1C49 2CF8 3707 E081 FFFA 1FD0 1474 1EEB FFB0 1D59 FFD1 179C DB5E 5BB3 FFFE 1A19 FFFB 17A7 1466 2573 EC89 FFFA
35D0 FFF6 1C42 2CF4 3703 E07E FFFA 1FCE 1489 1F06 FFB0 1D50 FFD1 1798 DB7D 5BD6 FFFE 1A1F FFFB 17BB 1489 256B EC85 FFFA
