35AE 0000 1DAD 2CF6 36F3 0000 0000 1FA9 13C2 1EE5 0000 1E19 0000 1856 0000 5BEB 0000 1B06 0000 17D6 13F0 25D0 0000 0000
35AE FFF6 1C60 2CF6 36F4 E06A FFFA 1FAB 13C3 1EE5 FFB0 1D84 FFD1 173C DB69 5BC9 FFFE 1AA3 FFFB 17D6 13F6 25D5 EC8C FFFA
35AD FFF6 1C5B 2CF5 36F4 E06A FFFA 1FAC 13C3 1EE6 FFB0 1D84 FFD1 173E DB67 5BC9 FFFE 1AA2 FFFB 17D6 13F7 25D5 EC89 FFFA
35AD FFF6 1C5A 2CF5 36F3 E06B FFFA 1FAC 13C7 1EE6 FFB0 1D80 FFD1 173E DB67 5BC9 FFFE 1A9D FFFB 17D6 13F9 25D3 EC89 FFFA
35AD FFF6 1C5C 2CF5 36F4 E06B FFFA 1FAC 13C9 1EE6 FFB0 1D7B FFD1 1742 DB68 5BC9 FFFE 1A9D FFFB 17D6 13FB 25CD EC8A FFFA
35AE FFF6 1C5A 2CF7 36F4 E06B FFFA 1FAD 13CF 1EE6 FFB0 1D7A FFD1 1742 DB68 5BC8 FFFE 1A98 FFFB 17D4 13FD 25CD EC8C FFFA
35AE FFF6 1C5C 2CF6 36F5 E06C FFFA 1FAD 13D3 1EE5 FFB0 1D7A FFD1 1748 DB68 5BC8 FFFE 1A99 FFFB 17D0 1400 25CD EC8B FFFA
35AD FFF6 1C5D 2CF6 36F5 E06C FFFA 1FAE 13D4 1EE5 FFB0 1D7A FFD1 1748 DB68 5BC7 FFFE 1A99 FFFB 17D4 1400 25C2 EC8A FFFA
35AD FFF6 1C5D 2CF6 36F4 E06C FFFA 1FAE 13D4 1EE6 FFB0 1D75 FFD1 174A DB67 5BC5 FFFE 1A97 FFFB 17D2 13FF 25C2 EC8C FFFA
35AD FFF6 1C77 2CF7 36FC E071 FFFA 1FB5 13D8 1EE6 FFB0 1D75 FFD1 1758 DB67 5BC4 FFFE 1A9F FFFB 17CF 13FA 25C1 EC8D FFFA
35AB FFF6 1C7F 2CF9 3719 E087 FFFA 1FC5 13D2 1EE4 FFB0 1D80 FFD1 1761 DB62 5BBA FFFE 1AA2 FFFB 17B2 13E9 25C4 EC91 FFFA
