35AE 0000 1DAD 2CF6 36F3 0000 0000 1FA9 13C2 1EE5 0000 1E19 0000 1856 0000 5BEB 0000 1B06 0000 17D6 13F0 25D0 0000 0000
35AD FFF6 1C7F 2CF9 372A E098 FFFA 1FCC 13C5 1EE2 FFB0 1DB8 FFD1 1760 DB43 5B9E FFFE 1AA5 FFFB 1843 1446 25C6 EC91 FFFA
35BC FFF6 1C38 2CFD 372A E098 FFFA 1FCB 1473 1EF1 FFB0 1DB8 FFD1 1775 DBD5 5C22 FFFE 1A9A FFFB 18C4 1534 25C5 EC91 FFFA
35B2 FFF6 1C41 2CFD 3699 E02B FFFA 1F89 1488 1EED FFB0 1D2E FFD1 178F DBF3 5C36 FFFE 1A34 FFFB 17B4 1469 2555 EC91 FFFA
35B4 FFF6 1CA2 2D18 369B E02E FFFA 1F9C 14AF 1EEE FFB0 1D52 FFD1 1808 DC00 5C3F FFFE 1A47 FFFB 17AF 1463 252D ECB2 FFFA
35BC FFF6 1CC7 2D18 36BA E046 FFFA 1FAC 14EA 1EE9 FFB0 1D52 FFD1 180D DBFF 5C3F FFFE 1A46 FFFB 17A3 146D 255A ECB4 FFFA
35C4 FFF6 1C7B 2D19 36DE E063 FFFA 1FBD 14EA 1EF2 FFB0 1D53 FFD1 17F7 DBC3 5C08 FFFE 19F4 FFFB 1756 146D 256A ECB9 FFFA
35C4 FFF6 1C7E 2D11 36E4 E067 FFFA 1FC1 14D4 1EF2 FFB0 1D59 FFD1 17FA DBA2 5BE8 FFFE 19F4 FFFB 1772 146C 2576 ECAE FFFA
35BA FFF6 1C7E 2D0E 3701 E07C FFFA 1FCA 14C4 1EED FFB0 1D6A FFD1 17FA DB91 5BD5 FFFE 19FD FFFB 177F 146B 2599 ECA4 FFFA
35D1 FFF6 1C65 2D0C 3708 E083 FFFA 1FCA 14B5 1EFD FFB0 1D88 FFD1 17E2 DB70 5BC5 FFFE 1A19 FFFB 17B4 1499 25BA ECA4 FFFA
35D1 FFF6 1C65 2D0B 3708 E083 FFFA 1FC9 1500 1EFD FFB0 1D88 FFD1 17F7 DB82 5BD5 FFFE 1A19 FFFB 17B4 14CE 25BA ECA3 FFFA
35AE FFF6 1C59 2D08 36EF E070 FFFA 1FCB 1500 1EE7 FFB0 1D44 FFD1 17F7 DB82 5BD5 FFFE 19D3 FFFB 1758 148E 256A EC9C FFFA
35B2 FFF6 1C52 2D00 36F0 E071 FFFA 1FCC 14EA 1EE7 FFB0 1D52 FFD1 17E4 DB74 5BC4 FFFE 19D3 FFFB 175D 148C 256A EC94 FFFA
35B2 FFF6 1C50 2D06 36F7 E074 FFFA 1FCE 14EA 1EEB FFB0 1D52 FFD1 17F1 DB71 5BC3 FFFE 19E0 FFFB 1759 148C 2589 EC96 FFFA
35BD FFF6 1C61 2D0E 370E E086 FFFA 1FCF 14D9 1EF0 FFB0 1D7E FFD1 17E3 DB69 5BBD FFFE 1A3C FFFB 179F 1473 25AB ECA7 FFFA
35BD FFF6 1C53 2CFE 370E E086 FFFA 1FD2 14AC 1EF0 FFB0 1D7E FFD1 17CB DB59 5BB1 FFFE 1A22 FFFB 179F 146D 25A6 EC93 FFFA
35B2 FFF6 1C4E 2CF9 370A E082 FFFA 1FD2 149F 1EE9 FFB0 1D61 FFD1 17C0 DB55 5BAE FFFE 19F8 FFFB 177A 1468 2599 EC88 FFFA
35BB FFF6 1C4E 2CF8 370A E082 FFFA 1FD1 148A 1EF5 FFB0 1D83 FFD1 17B7 DB50 5BBD FFFE 1A0F FFFB 1812 14B2 25A4 EC88 FFFA
35C0 FFF6 1C49 2CFC 3704 E07F FFFA 1FC9 14AD 1EF8 FFB0 1D83 FFD1 17C0 DBA4 5BF1 FFFE 1A0F FFFB 1812 14C7 2589 EC8D FFFA
35B3 FFF6 1C65 2CFC 36CA E053 FFFA 1FB3 14AD 1EED FFB0 1D2F FFD1 17CD DBA7 5BF1 FFFE 1A1D FFFB 177F 1464 2559 EC8D FFFA
35BF FFF6 1C75 2D14 36EF E071 FFFA 1FC3 149B 1EF1 FFB0 1D52 FFD1 17D7 DBA1 5BEA FFFE 1A57 FFFB 177A 1437 259A ECB3 FFFA
35BF FFF6 1CF2 2D4C 3736 E09F FFFA 1FD7 1480 1EF1 FFB0 1D9A FFD1 17C9 DB85 5BD2 FFFE 1AB0 FFFB 17AE 143A 25C3 ED02 FFFA
