35AC 0000 1DB5 2CF8 36F3 0000 0000 1FAB 13C3 1EE3 0000 1E18 0000 1857 0000 5BEA 0000 1B0A 0000 17DB 13EF 25C7 0000 0000
35AC FFF6 1C5F 2CF8 36F4 E06B FFFA 1FAC 13C1 1EE4 FFB0 1D7C FFD1 173E DB69 5BC8 FFFE 1AA9 FFFB 17DB 13F2 25C7 EC8F FFFA
35AB FFF6 1C5E 2CF8 36F4 E06B FFFA 1FAC 13C1 1EE4 FFB0 1D77 FFD1 173A DB68 5BC6 FFFE 1AA9 FFFB 17DC 13F2 25C4 EC8F FFFA
35AB FFF6 1C5E 2CF8 36F3 E06A FFFA 1FAB 13BD 1EE4 FFB0 1D77 FFD1 173A DB68 5BC7 FFFE 1AA8 FFFB 17DD 13F6 25C4 EC90 FFFA
35AC FFF6 1C63 2CF8 36F3 E06B FFFA 1FAD 13C1 1EE4 FFB0 1D75 FFD1 173C DB68 5BC7 FFFE 1AA8 FFFB 17D9 13FC 25C1 EC90 FFFA
35AD FFF6 1C5B 2CF8 36F3 E06B FFFA 1FAD 13D1 1EE3 FFB0 1D75 FFD1 1744 DB6A 5BC6 FFFE 1AA4 FFFB 17D9 13FC 25BB EC90 FFFA
35AD FFF6 1C5B 2CF8 36F3 E06B FFFA 1FAE 13D1 1EE3 FFB0 1D70 FFD1 1744 DB6A 5BC5 FFFE 1AA2 FFFB 17D6 13FE 25AE EC8F FFFA
35AC FFF6 1C5C 2CF8 36F3 E06B FFFA 1FAF 13CD 1EE3 FFB0 1D71 FFD1 1744 DB69 5BC5 FFFE 1AA1 FFFB 17D6 13FE 25B3 EC91 FFFA
35AC FFF6 1C5A 2CF9 36F3 E06B FFFA 1FAF 13CE 1EE3 FFB0 1D71 FFD1 1744 DB69 5BC4 FFFE 1AA1 FFFB 17DA 13FC 25AE EC91 FFFA
35AC FFF6 1C5C 2CF9 36F4 E06B FFFA 1FAF 13CD 1EE3 FFB0 1D6C FFD1 1744 DB69 5BC4 FFFE 1AA8 FFFB 17D5 13FC 25B1 EC91 FFFA
35AB FFF6 1C7E 2CFA 3705 E078 FFFA 1FBA 13C4 1EE3 FFB0 1D73 FFD1 1758 DB68 5BC1 FFFE 1AAA FFFB 17D5 13F0 25B2 EC92 FFFA
35A9 FFF6 1C7E 2CFA 3722 E08E FFFA 1FCB 13C5 1EE0 FFB0 1D7F FFD1 175E DB5E 5BB4 FFFE 1AAA FFFB 17B6 13D5 25BE EC93 FFFA
35C2 FFF6 1C79 2CF9 3724 E091 FFFA 1FCB 1438 1EF6 FFB0 1DED FFD1 1754 DBA8 5C05 FFFE 1AA6 FFFB 18DE 1506 25BE EC92 FFFA
35C2 FFF6 1C43 2CF9 36D1 E047 FFFA 1F94 1481 1EF5 FFB0 1D36 FFD1 1780 DBD7 5C22 FFFE 1A30 FFFB 1895 1506 257B EC8A FFFA
35B2 FFF6 1C79 2D04 3692 E02A FFFA 1F8C 148E 1EEA FFB0 1D21 FFD1 17B1 DBF6 5C36 FFFE 1A4A FFFB 17B0 146D 252D ECA2 FFFA
35B0 FFF6 1CD0 2D1A 36C1 E04C FFFA 1FAF 149A 1EEB FFB0 1D52 FFD1 17F3 DBFB 5C36 FFFE 1A5D FFFB 179F 1457 2543 ECB4 FFFA
35AA FFF6 1CA6 2D0F 36E3 E067 FFFA 1FC6 14A0 1EEB FFB0 1D3D FFD1 17E9 DBCF 5C08 FFFE 1A42 FFFB 1754 1438 2547 ECB4 FFFA
35B8 FFF6 1C7C 2D0C 36F7 E076 FFFA 1FCE 14A0 1EE7 FFB0 1D50 FFD1 17DA DB98 5BDB FFFE 1A21 FFFB 17A3 1479 2547 ECA7 FFFA
35B8 FFF6 1C89 2D0A 36F8 E078 FFFA 1FD3 14BC 1EE7 FFB0 1D50 FFD1 17F0 DB79 5BC1 FFFE 1A1B FFFB 17A3 1480 253C ECA4 FFFA
35B8 FFF6 1C89 2D01 3701 E07F FFFA 1FD4 14A8 1EEE FFB0 1D4A FFD1 17F0 DB75 5BB8 FFFE 1A11 FFFB 1795 147F 254B EC9A FFFA
35B8 FFF6 1C5B 2D09 36FF E07C FFFA 1FD3 14A4 1EEE FFB0 1D62 FFD1 17B5 DB6E 5BBF FFFE 1A18 FFFB 1796 1480 2596 EC9C FFFA
35B7 FFF6 1C4B 2D07 36F3 E070 FFFA 1FC6 1512 1EF1 FFB0 1D67 FFD1 1801 DBA1 5BE8 FFFE 19F1 FFFB 17B4 14DD 256E EC96 FFFA
35B5 FFF6 1C76 2D08 36ED E06E FFFA 1FCC 1512 1EEE FFB0 1D43 FFD1 181C DBA1 5BE8 FFFE 19CE FFFB 1747 1499 2573 EC9D FFFA
35B2 FFF6 1C6D 2D08 36FA E077 FFFA 1FCF 14EF 1EE9 FFB0 1D65 FFD1 1804 DB82 5BCD FFFE 19E4 FFFB 176F 1466 2579 EC9D FFFA
35AE FFF6 1C4A 2CFE 36FC E079 FFFA 1FCF 14C2 1EE5 FFB0 1D5C FFD1 17D7 DB65 5BB9 FFFE 19DA FFFB 1763 146D 2582 EC8D FFFA
35C7 FFF6 1CB4 2CFC 371D E08F FFFA 1FCF 14B5 1EF4 FFB0 1DA1 FFD1 17D5 DB5F 5BB4 FFFE 1A74 FFFB 17FB 1469 25CF EC8D FFFA
35C7 FFF6 1C9C 2D0D 3723 E092 FFFA 1FD0 1476 1EEF FFB0 1DB4 FFD1 17A3 DB4E 5BA7 FFFE 1A97 FFFB 1802 146D 25D4 ECA9 FFFA
35BA FFF6 1C75 2D0D 3720 E08D FFFA 1FD2 1480 1EEF FFB0 1DB4 FFD1 17B3 DB4C 5BA8 FFFE 1A59 FFFB 1802 146D 25CD ECA9 FFFA
35C5 FFF6 1C75 2CF9 3716 E089 FFFA 1FCC 14E2 1EF4 FFB0 1D93 FFD1 1803 DBD2 5C08 FFFE 1A59 FFFB 187F 154C 25CD EC86 FFFA
35B2 FFF6 1CA4 2D00 36DE E064 FFFA 1FC3 14E2 1EEC FFB0 1D3B FFD1 180A DBD2 5C08 FFFE 1A18 FFFB 177C 14AD 254D EC94 FFFA
35B0 FFF6 1C7F 2CFE 36F0 E071 FFFA 1FC8 149F 1EEA FFB0 1D5E FFD1 17E6 DB8C 5BCD FFFE 1A18 FFFB 178A 146A 2573 EC8F FFFA
35C9 FFF6 1C56 2D05 36F0 E071 FFFA 1FC6 149F 1EF7 FFB0 1D51 FFD1 17B4 DB7D 5BCA FFFE 1A24 FFFB 179F 146D 2573 EC9B FFFA
