35AD 0000 1DAE 2CF7 36EE 0000 0000 1FA8 13C2 1EE4 0000 1E0C 0000 1847 0000 5BED 0000 1B0E 0000 17D6 13F1 25C3 0000 0000
35AE FFF6 1C61 2CF7 36EF E067 FFFA 1FA9 13B8 1EE4 FFB0 1D77 FFD1 173B DB6D 5BCB FFFE 1AAB FFFB 17D8 13F1 25CA EC8E FFFA
35AE FFF6 1C61 2CF7 36F2 E069 FFFA 1FAA 13BC 1EE4 FFB0 1D76 FFD1 173B DB6B 5BC9 FFFE 1AAB FFFB 17DA 13F2 25C3 EC8D FFFA
35AE FFF6 1C60 2CF6 36F3 E06B FFFA 1FAC 13BD 1EE4 FFB0 1D77 FFD1 173A DB6A 5BC8 FFFE 1AA7 FFFB 17D8 13F4 25C7 EC8D FFFA
35AE FFF6 1C5F 2CF7 36F3 E06B FFFA 1FAD 13C0 1EE4 FFB0 1D7B FFD1 173D DB67 5BC5 FFFE 1AA9 FFFB 17DE 13F4 25C7 EC8C FFFA
35AC FFF6 1C5F 2CF7 36F4 E06C FFFA 1FAE 13C6 1EE4 FFB0 1D78 FFD1 1742 DB67 5BC4 FFFE 1AA6 FFFB 17DC 13F6 25B4 EC8F FFFA
35AC FFF6 1C5D 2CF7 36F4 E06C FFFA 1FAE 13C6 1EE3 FFB0 1D74 FFD1 173F DB66 5BC2 FFFE 1AA7 FFFB 17DC 13FA 25B4 EC8F FFFA
35AB FFF6 1C69 2CFA 36F9 E070 FFFA 1FB5 13D0 1EE3 FFB0 1D70 FFD1 1753 DB66 5BC2 FFFE 1AA3 FFFB 17D5 13FC 25B3 EC93 FFFA
35AA FFF6 1C69 2D00 3706 E079 FFFA 1FBB 13D0 1EE3 FFB0 1D6F FFD1 1753 DB66 5BC0 FFFE 1AA5 FFFB 17CC 13FC 25AC EC9A FFFA
35BB FFF6 1C66 2D00 3707 E07A FFFA 1FBB 1421 1EF4 FFB0 1D98 FFD1 174D DB6D 5BCE FFFE 1AA1 FFFB 1804 1457 25B5 EC9A FFFA
35BB FFF6 1C52 2CFC 36EF E069 FFFA 1FB6 14D1 1EF4 FFB0 1D7C FFD1 17D3 DB96 5BE5 FFFE 1A8B FFFB 17DD 1478 2598 EC8B FFFA
35BB FFF6 1C66 2CFC 36DD E064 FFFA 1FC1 14DE 1EEF FFB0 1D64 FFD1 17F0 DB96 5BE5 FFFE 1A27 FFFB 17A9 1475 2574 EC8E FFFA
35AE FFF6 1C66 2D08 36F0 E06F FFFA 1FC9 14D7 1EE6 FFB0 1D5F FFD1 17F0 DB89 5BD8 FFFE 19D6 FFFB 1770 147A 257E EC9E FFFA
35AC FFF6 1C6D 2D0B 36FA E075 FFFA 1FCA 14E0 1EE6 FFB0 1D5F FFD1 17F1 DB7F 5BD5 FFFE 19DF FFFB 1770 1498 2598 ECA1 FFFA
35AD FFF6 1C6D 2D09 3702 E07B FFFA 1FCC 14C8 1EE0 FFB0 1D6D FFD1 17F1 DB7F 5BCE FFFE 19E7 FFFB 176C 1461 25A3 ECA0 FFFA
35B1 FFF6 1C50 2D03 3709 E081 FFFA 1FCF 14B1 1EE6 FFB0 1D73 FFD1 17CD DB62 5BBD FFFE 19FA FFFB 1776 145D 25AC EC97 FFFA
35B7 FFF6 1C65 2D03 3709 E081 FFFA 1FCF 14BB 1EEE FFB0 1D80 FFD1 17BB DB5C 5BBB FFFE 19FD FFFB 17A0 148C 25AC EC97 FFFA
35C6 FFF6 1C5D 2CFF 3703 E07C FFFA 1FCB 14F9 1EF0 FFB0 1D79 FFD1 1805 DB8A 5BD9 FFFE 19DD FFFB 17A0 14C5 2592 EC8C FFFA
35C6 FFF6 1C5D 2D07 36EE E06F FFFA 1FCB 14F9 1EE9 FFB0 1D51 FFD1 1805 DB8C 5BD9 FFFE 19BD FFFB 1787 1493 256A EC9B FFFA
35B1 FFF6 1C54 2D02 36F5 E073 FFFA 1FCE 14E7 1EE7 FFB0 1D56 FFD1 17EB DB7D 5BCC FFFE 19BD FFFB 1749 1475 257C EC93 FFFA
35B1 FFF6 1C51 2CFD 3700 E07C FFFA 1FD0 14DE 1EE9 FFB0 1D6D FFD1 17EB DB6A 5BBE FFFE 19E5 FFFB 1771 1471 2592 EC8D FFFA
35B0 FFF6 1C4F 2CFC 3700 E07C FFFA 1FD0 14BD 1EE9 FFB0 1D6D FFD1 17C9 DB5B 5BB5 FFFE 19E5 FFFB 1771 1471 2592 EC8D FFFA
35B0 FFF6 1C52 2CFF 3707 E080 FFFA 1FD0 14B8 1EE7 FFB0 1D63 FFD1 17C8 DB59 5BB2 FFFE 19EA FFFB 1765 1470 25A5 EC90 FFFA
35B1 FFF6 1C52 2CFE 3709 E082 FFFA 1FD0 14A5 1EEC FFB0 1D65 FFD1 17C3 DB55 5BB2 FFFE 1A14 FFFB 179A 1469 25AD EC8F FFFA
35D7 FFF6 1C45 2D00 3705 E082 FFFA 1FCB 148D 1F11 FFB0 1D8D FFD1 17A9 DB9C 5BE5 FFFE 1A2B FFFB 180C 14AD 25AD EC8F FFFA
35D7 FFF6 1C5F 2CFF 36FC E076 FFFA 1FC4 149D 1F08 FFB0 1D64 FFD1 17BF DB9C 5BE5 FFFE 1A16 FFFB 17EA 14AD 2586 EC90 FFFA
35C3 FFF6 1CA1 2D44 36CE E055 FFFA 1FB3 149D 1EF9 FFB0 1D25 FFD1 17A6 DBB2 5BFA FFFE 1A94 FFFB 17BB 1477 258E ECF8 FFFA
35D0 FFF6 1CFF 2D81 372C E092 FFFA 1FD1 1493 1EF9 FFB0 1D88 FFD1 17C2 DBB7 5BFA FFFE 1ACC FFFB 17B7 1456 25BD ED5A FFFA
35BB FFF6 1CDC 2D6E 373D E0A2 FFFA 1FD8 1475 1EE2 FFB0 1D92 FFD1 17C9 DBA4 5BE8 FFFE 1ABA FFFB 17DB 1430 25C2 ED3A FFFA
35AB FFF6 1CDD 2D36 373D E0A2 FFFA 1FD8 142E 1EE1 FFB0 1D90 FFD1 17C9 DB82 5BC3 FFFE 1ABA FFFB 17DC 13EA 25C2 ECEC FFFA
35AB FFF6 1C62 2CFA 373D E0A2 FFFA 1FD8 13A6 1EE1 FFB0 1D90 FFD1 173F DB13 5B73 FFFE 1AAA FFFB 17DC 13E9 25C2 EC99 FFFA
