35AD 0000 1D9F 2CF5 36EA 0000 0000 1FA6 13C2 1EE4 0000 1E07 0000 183E 0000 5BF1 0000 1B06 0000 17D7 13EF 25C4 0000 0000
35AE FFF6 1C5F 2CF5 36ED E065 FFFA 1FA6 13BF 1EE6 FFB0 1D7D FFD1 173B DB73 5BD2 FFFE 1AAA FFFB 17D8 13F0 25CF EC8C FFFA
35AF FFF6 1C60 2CF6 36EE E067 FFFA 1FA8 13C3 1EE5 FFB0 1D7D FFD1 1740 DB70 5BD0 FFFE 1AA4 FFFB 17D3 13F1 25CC EC8C FFFA
35AF FFF6 1C60 2CF7 36F1 E069 FFFA 1FA9 13C3 1EE5 FFB0 1D7C FFD1 1740 DB6E 5BCD FFFE 1AA7 FFFB 17DA 13F2 25D2 EC8E FFFA
35AD FFF6 1C5F 2CFC 36F4 E06A FFFA 1FAB 13BF 1EE3 FFB0 1D7D FFD1 173A DB6A 5BC9 FFFE 1AA7 FFFB 17DA 13F4 25D2 EC96 FFFA
35AD FFF6 1C61 2CFF 36F7 E06C FFFA 1FB0 13C4 1EE3 FFB0 1D7D FFD1 1743 DB68 5BC7 FFFE 1AA5 FFFB 17D6 13F4 25C7 EC99 FFFA
35AC FFF6 1C69 2D02 36FE E072 FFFA 1FB5 13CB 1EE2 FFB0 1D76 FFD1 174F DB67 5BC3 FFFE 1AA4 FFFB 17D4 13F9 25C0 EC9D FFFA
35A8 FFF6 1C73 2D02 3711 E081 FFFA 1FBF 13C8 1EE1 FFB0 1D7D FFD1 1755 DB63 5BC1 FFFE 1AA6 FFFB 17C7 13F1 25C0 EC9D FFFA
35E2 FFF6 1C70 2CFF 3719 E083 FFFA 1FC2 1426 1F0C FFB0 1DB5 FFD1 1754 DB59 5BCA FFFE 1AA6 FFFB 1839 14BB 25C4 EC99 FFFA
35E2 FFF6 1C60 2D01 3715 E083 FFFA 1FC1 14C4 1F0C FFB0 1DB5 FFD1 17D9 DB95 5BE5 FFFE 1A9E FFFB 185C 14BD 25BE EC97 FFFA
35AF FFF6 1C55 2D03 36DC E061 FFFA 1FC0 14E0 1EE6 FFB0 1D55 FFD1 17E5 DB95 5BE5 FFFE 19FA FFFB 1765 1475 257D EC98 FFFA
35AF FFF6 1C5A 2D05 36E8 E06A FFFA 1FC6 14E7 1EE5 FFB0 1D50 FFD1 17EC DB8A 5BDD FFFE 19BF FFFB 1748 147A 2580 EC98 FFFA
35B0 FFF6 1C5A 2D05 36F3 E072 FFFA 1FCB 14E5 1EE7 FFB0 1D5B FFD1 17EC DB7E 5BD2 FFFE 19C9 FFFB 1748 1470 258C EC98 FFFA
35B0 FFF6 1C57 2CFF 3700 E07C FFFA 1FD1 14CC 1EE7 FFB0 1D6B FFD1 17E4 DB69 5BBF FFFE 19DA FFFB 1757 1476 2599 EC90 FFFA
35B3 FFF6 1C55 2CFF 3709 E083 FFFA 1FD1 14BD 1EE8 FFB0 1D94 FFD1 17E4 DB5F 5BB5 FFFE 19EC FFFB 1794 146A 25AB EC8F FFFA
35B4 FFF6 1C50 2CFA 3707 E07F FFFA 1FD1 14BF 1EE9 FFB0 1D72 FFD1 17CA DB59 5BB7 FFFE 19E6 FFFB 1780 1488 25AA EC8D FFFA
35BE FFF6 1C2D 2CFA 3700 E07A FFFA 1FCE 14DE 1EEF FFB0 1D6C FFD1 17C0 DB81 5BD9 FFFE 19C4 FFFB 17A6 14B8 2592 EC88 FFFA
35BE FFF6 1C77 2D02 36F4 E073 FFFA 1FCB 14DE 1EEF FFB0 1D6C FFD1 17FE DB87 5BD9 FFFE 19D9 FFFB 17A6 14B8 2583 EC92 FFFA
35AD FFF6 1C56 2D01 36FA E077 FFFA 1FCD 14D0 1EE4 FFB0 1D65 FFD1 17E2 DB77 5BC8 FFFE 19D9 FFFB 1760 147D 258B EC92 FFFA
35B2 FFF6 1C4F 2CFF 36FB E078 FFFA 1FCE 14D9 1EE7 FFB0 1D5E FFD1 17DC DB64 5BBC FFFE 19D4 FFFB 1760 147D 258D EC90 FFFA
35B2 FFF6 1C4F 2CFE 36FF E07A FFFA 1FCF 14C6 1EE7 FFB0 1D5F FFD1 17D9 DB60 5BB7 FFFE 19D4 FFFB 1767 1475 2590 EC8D FFFA
35B0 FFF6 1C5D 2CFE 370B E083 FFFA 1FD2 14C6 1EE5 FFB0 1D64 FFD1 17D4 DB5C 5BB5 FFFE 19EE FFFB 1773 1475 25A0 EC8F FFFA
35B2 FFF6 1C48 2CFD 370B E083 FFFA 1FD2 149F 1EE9 FFB0 1D6D FFD1 17BD DB51 5BAD FFFE 1A15 FFFB 179B 145C 25AA EC8F FFFA
35B3 FFF6 1CDA 2D2B 373B E0A2 FFFA 1FD8 1478 1EE6 FFB0 1D90 FFD1 17AC DB56 5BB2 FFFE 1AB3 FFFB 17CE 145D 25D0 ECDD FFFA
35AC FFF6 1CDA 2D8A 373D E0A2 FFFA 1FD8 142C 1EE1 FFB0 1D96 FFD1 179A DBB9 5BFD FFFE 1AB3 FFFB 1866 14AD 25CE ED58 FFFA
35AB FFF6 1D32 2D70 373D E0A2 FFFA 1FD8 142C 1EE2 FFB0 1D9C FFD1 17E7 DBB9 5BFD FFFE 1AD8 FFFB 1841 1454 25C2 ED3D FFFA
35AB FFF6 1D32 2D5A 373D E0A2 FFFA 1FD8 13C5 1EE3 FFB0 1D9C FFD1 17E7 DB6E 5BA6 FFFE 1AD8 FFFB 17DC 13EA 25C2 ED14 FFFA
35AB FFF6 1C52 2CF5 373D E0A2 FFFA 1FD8 13A5 1EE0 FFB0 1D8B FFD1 1733 DB10 5B71 FFFE 1AA6 FFFB 17DC 13EA 25C2 EC8B FFFA
35AB FFF6 1C52 2CF5 373D E0A2 FFFA 1FD8 13A4 1EE0 FFB0 1D8B FFD1 1732 DB10 5B71 FFFE 1AA6 FFFB 17DC 13E9 25C2 EC8B FFFA
35AB FFF6 1C52 2CF5 373D E0A2 FFFA 1FD8 13A4 1EE0 FFB0 1D8B FFD1 1732 DB10 5B71 FFFE 1AA6 FFFB 17DC 13E9 25C2 EC8B FFFA
35AB FFF6 1C52 2CF5 373D E0A2 FFFA 1FD8 13A4 1EE0 FFB0 1D8B FFD1 1732 DB10 5B71 FFFE 1AA6 FFFB 17DC 13E9 25C2 EC8B FFFA
35AB FFF6 1C52 2CF5 373D E0A2 FFFA 1FD8 13A4 1EE0 FFB0 1D8B FFD1 1732 DB10 5B71 FFFE 1AA6 FFFB 17DC 13E9 25C2 EC8B FFFA
