35AA 0000 1DA4 2CF7 36EC 0000 0000 1FA6 13C6 1EE4 0000 1E10 0000 184C 0000 5BEF 0000 1B01 0000 17D9 13F9 25CA 0000 0000
35AB FFF6 1C60 2CF7 36EC E065 FFFA 1FA6 13C6 1EE5 FFB0 1D7C FFD1 173F DB6F 5BD0 FFFE 1A9D FFFB 17D9 13F9 25D4 EC8E FFFA
35AB FFF6 1C5B 2CF7 36EC E065 FFFA 1FA6 13C4 1EE5 FFB0 1D80 FFD1 173B DB6E 5BCF FFFE 1A9F FFFB 17D4 13F7 25CD EC8E FFFA
35AC FFF6 1C5D 2CF8 36ED E066 FFFA 1FA7 13C8 1EE4 FFB0 1D80 FFD1 173F DB6E 5BCF FFFE 1A9F FFFB 17D4 13F8 25CD EC90 FFFA
35AC FFF6 1C5D 2CF7 36ED E066 FFFA 1FA8 13CB 1EE5 FFB0 1D7D FFD1 173F DB6E 5BCF FFFE 1A9F FFFB 17DA 13FE 25CF EC8C FFFA
35AD FFF6 1C5E 2CF9 36ED E066 FFFA 1FA8 13D0 1EE5 FFB0 1D7D FFD1 1741 DB6E 5BCF FFFE 1A9F FFFB 17DA 13FE 25CF EC91 FFFA
35AC FFF6 1C5E 2CF9 36ED E066 FFFA 1FA9 13D4 1EE5 FFB0 1D7D FFD1 1746 DB6E 5BCE FFFE 1A9A FFFB 17D4 13FC 25C8 EC91 FFFA
35AB FFF6 1C5B 2CF7 36ED E066 FFFA 1FA8 13D1 1EE5 FFB0 1D76 FFD1 1744 DB6E 5BCD FFFE 1A97 FFFB 17D3 13FC 25C7 EC8D FFFA
35AD FFF6 1C5C 2CF7 36ED E066 FFFA 1FA8 13D1 1EE5 FFB0 1D75 FFD1 1745 DB6E 5BCD FFFE 1A9A FFFB 17D3 13FE 25C7 EC8D FFFA
35AC FFF6 1C5A 2CF8 36ED E066 FFFA 1FA9 13D4 1EE5 FFB0 1D77 FFD1 1745 DB6E 5BCE FFFE 1A97 FFFB 17CF 13FF 25CB EC8E FFFA
35AC FFF6 1C65 2CF7 36EF E068 FFFA 1FAB 13D4 1EE5 FFB0 1D77 FFD1 174E DB6E 5BCE FFFE 1A96 FFFB 17CD 13FF 25C5 EC8E FFFA
35AC FFF6 1C89 2CF9 3709 E07C FFFA 1FBD 13CE 1EE4 FFB0 1D7D FFD1 1769 DB6C 5BC9 FFFE 1AA1 FFFB 17BF 13EF 25C5 EC90 FFFA
35B1 FFF6 1C89 2CF8 3725 E091 FFFA 1FCC 13CA 1EEA FFB0 1DAB FFD1 1769 DB52 5BAA FFFE 1AA4 FFFB 181B 1424 25C5 EC90 FFFA
35D3 FFF6 1C70 2CF9 3725 E091 FFFA 1FCC 1458 1F05 FFB0 1DD0 FFD1 1779 DBC4 5C15 FFFE 1AA1 FFFB 192A 1531 25C5 EC8D FFFA
35B7 FFF6 1C40 2CF9 36A6 E034 FFFA 1F8F 147B 1EED FFB0 1D3A FFD1 177C DBE6 5C30 FFFE 1A3E FFFB 17C3 1475 2564 EC8D FFFA
35B2 FFF6 1C43 2CFA 368D E024 FFFA 1F86 147B 1EED FFB0 1D11 FFD1 1784 DC02 5C44 FFFE 1A5A FFFB 17C3 1475 2535 EC8E FFFA
35B0 FFF6 1C8F 2D03 3674 E011 FFFA 1F77 1468 1EEA FFB0 1D0B FFD1 17A4 DC0B 5C49 FFFE 1A7D FFFB 17B8 1453 252C EC9B FFFA
35B1 FFF6 1C8F 2D08 368B E020 FFFA 1F8A 1476 1EE9 FFB0 1D36 FFD1 17A8 DC0B 5C46 FFFE 1A7D FFFB 179A 1432 2539 ECA6 FFFA
35B5 FFF6 1C8D 2D06 36B1 E042 FFFA 1FA9 14B9 1EEB FFB0 1D27 FFD1 17F4 DBEC 5C2A FFFE 1A45 FFFB 1777 1432 2541 ECA1 FFFA
35B5 FFF6 1C96 2D03 36EA E06B FFFA 1FC9 14BC 1EEB FFB0 1D3E FFD1 1801 DBC3 5C00 FFFE 1A13 FFFB 173B 142E 2559 EC99 FFFA
35B1 FFF6 1C8E 2D03 370C E085 FFFA 1FD4 14AA 1EE8 FFB0 1D60 FFD1 17FA DB7F 5BC4 FFFE 1A0C FFFB 177C 1458 257E EC99 FFFA
35B1 FFF6 1C48 2CFC 370C E085 FFFA 1FD4 148C 1EEC FFB0 1D60 FFD1 17B7 DB4E 5BA6 FFFE 1A12 FFFB 17AE 147B 257E EC8E FFFA
35BE FFF6 1C5F 2D06 3708 E081 FFFA 1FD3 150E 1EF6 FFB0 1D83 FFD1 181C DBAC 5BED FFFE 1A0A FFFB 1838 1516 255E EC99 FFFA
35B8 FFF6 1C71 2D06 36E6 E06B FFFA 1FC7 150E 1EEC FFB0 1D40 FFD1 181C DBAC 5BED FFFE 19CB FFFB 173F 148D 2569 EC99 FFFA
35C5 FFF6 1CC5 2D01 3711 E084 FFFA 1FCA 14D8 1F08 FFB0 1D56 FFD1 17EA DB7A 5BC8 FFFE 1A71 FFFB 177F 145D 25DF EC93 FFFA
