35AB 0000 1DA9 2CF6 36ED 0000 0000 1FA7 13C5 1EE4 0000 1E10 0000 184C 0000 5BEE 0000 1B0C 0000 17DA 13F6 25C4 0000 0000
35AB FFF6 1C5B 2CF9 36ED E065 FFFA 1FA7 13C6 1EE3 FFB0 1D77 FFD1 1740 DB72 5BCE FFFE 1AA9 FFFB 17DA 13F9 25C4 EC8F FFFA
35AB FFF6 1C61 2CF8 36ED E065 FFFA 1FA8 13C6 1EE4 FFB0 1D72 FFD1 1740 DB72 5BCE FFFE 1AA7 FFFB 17DA 13F9 25BD EC8E FFFA
35AB FFF6 1C61 2CF9 36ED E066 FFFA 1FA9 13C9 1EE5 FFB0 1D7C FFD1 173D DB71 5BCE FFFE 1AA9 FFFB 17DA 13F8 25C5 EC90 FFFA
35AB FFF6 1C5F 2CF9 36ED E066 FFFA 1FA9 13C9 1EE4 FFB0 1D7C FFD1 1741 DB70 5BCE FFFE 1AA9 FFFB 17DA 13FB 25C5 EC91 FFFA
35AB FFF6 1C5D 2CF9 36ED E066 FFFA 1FA9 13CD 1EE3 FFB0 1D75 FFD1 1741 DB72 5BCD FFFE 1AA3 FFFB 17D7 13FB 25BB EC91 FFFA
35AB FFF6 1C5D 2CF9 36ED E066 FFFA 1FA9 13CD 1EE4 FFB0 1D6F FFD1 1746 DB71 5BCD FFFE 1AA3 FFFB 17D8 13FB 25B8 EC90 FFFA
35AC FFF6 1C5B 2CF8 36ED E066 FFFA 1FA9 13C9 1EE2 FFB0 1D73 FFD1 173F DB71 5BCE FFFE 1AA3 FFFB 17D8 13F8 25BC EC8F FFFA
35AC FFF6 1C5A 2CF9 36ED E067 FFFA 1FAA 13D2 1EE4 FFB0 1D74 FFD1 1748 DB70 5BCE FFFE 1A9E FFFB 17D4 13FE 25BC EC90 FFFA
35AC FFF6 1C5E 2CFA 36EE E067 FFFA 1FAB 13D2 1EE3 FFB0 1D70 FFD1 1748 DB70 5BCD FFFE 1A9F FFFB 17D4 13FE 25BA EC92 FFFA
35AA FFF6 1C5E 2CF8 36F0 E068 FFFA 1FAD 13CE 1EE3 FFB0 1D74 FFD1 1745 DB70 5BCC FFFE 1AA1 FFFB 17D8 13FB 25B7 EC8F FFFA
35AA FFF6 1C83 2CFA 3701 E076 FFFA 1FBA 13D0 1EE2 FFB0 1D74 FFD1 1760 DB6E 5BCB FFFE 1AA6 FFFB 17CC 13F5 25B7 EC92 FFFA
35AA FFF6 1C83 2CF9 3720 E08D FFFA 1FC9 13CC 1EE2 FFB0 1D7F FFD1 1760 DB61 5BB5 FFFE 1AAA FFFB 17BB 13D5 25BF EC90 FFFA
35BB FFF6 1C78 2CF7 372A E096 FFFA 1FCE 13DE 1EF1 FFB0 1DF8 FFD1 1753 DB3B 5BBD FFFE 1AAB FFFB 1939 152F 25BF EC8F FFFA
35BB FFF6 1C86 2CFE 371E E096 FFFA 1FBA 146E 1EF1 FFB0 1DF8 FFD1 17C0 DBC6 5C0B FFFE 1A67 FFFB 1939 152F 25AE EC91 FFFA
35C1 FFF6 1C86 2CFE 36BD E049 FFFA 1FA2 148C 1EF8 FFB0 1D4A FFD1 17C0 DBCA 5C1D FFFE 1A43 FFFB 17F0 14B6 256A EC92 FFFA
35C1 FFF6 1C3B 2CF7 36B8 E048 FFFA 1F9B 148C 1EF8 FFB0 1D4A FFD1 1779 DC02 5C45 FFFE 1A60 FFFB 17F7 14B6 2559 EC89 FFFA
35B0 FFF6 1CA8 2D01 3684 E01C FFFA 1F82 145F 1EEA FFB0 1D3F FFD1 17BC DC0B 5C48 FFFE 1A85 FFFB 17C3 1453 2533 EC96 FFFA
35B5 FFF6 1CA8 2D01 36BD E048 FFFA 1FAB 1493 1EEC FFB0 1D41 FFD1 17F1 DC05 5C3B FFFE 1A85 FFFB 1766 140D 2565 EC96 FFFA
35B5 FFF6 1CA4 2D04 36DE E062 FFFA 1FBC 14A3 1EEF FFB0 1D4D FFD1 17F1 DBBF 5BFF FFFE 1A33 FFFB 176C 1458 2565 EC9B FFFA
35B2 FFF6 1C82 2D01 3702 E07D FFFA 1FCE 14A3 1EEE FFB0 1D5C FFD1 17E2 DB89 5BD7 FFFE 1A0D FFFB 176C 1458 2588 EC94 FFFA
35B0 FFF6 1C90 2D01 371B E08E FFFA 1FD2 1487 1EE7 FFB0 1DAA FFD1 17CA DB66 5BB5 FFFE 1A56 FFFB 17C6 1465 25C2 EC97 FFFA
35B2 FFF6 1C5A 2CF9 371B E08E FFFA 1FD4 149E 1EEA FFB0 1DAA FFD1 17A1 DB4C 5BBC FFFE 1A3D FFFB 182F 14F2 259A EC8C FFFA
35B3 FFF6 1C81 2D08 36FD E07C FFFA 1FC7 14FE 1EEA FFB0 1D93 FFD1 180F DB9F 5BE7 FFFE 19DE FFFB 182F 14F2 256E EC9D FFFA
35AD FFF6 1C83 2D10 36F9 E073 FFFA 1FC7 14FE 1EE6 FFB0 1D68 FFD1 180F DB9A 5BE1 FFFE 1A06 FFFB 179D 1479 259F ECA7 FFFA
35B9 FFF6 1C5F 2D05 36F9 E072 FFFA 1FC9 14CF 1EE9 FFB0 1D68 FFD1 17E4 DB79 5BC7 FFFE 19EE FFFB 179D 1479 2587 EC9A FFFA
35CF FFF6 1C67 2D1C 3702 E07F FFFA 1FCA 14C9 1EEE FFB0 1DA8 FFD1 17D5 DB75 5BC7 FFFE 1A3A FFFB 17C2 148C 25B0 ECAF FFFA
35AE FFF6 1C47 2D01 36F4 E074 FFFA 1FCB 14D9 1EE4 FFB0 1D58 FFD1 17E2 DB76 5BC7 FFFE 19D7 FFFB 176A 148C 2582 EC93 FFFA
35AD FFF6 1C47 2CFF 36F6 E074 FFFA 1FCB 14C9 1EE5 FFB0 1D52 FFD1 17D0 DB6F 5BC3 FFFE 19E4 FFFB 1769 1472 2582 EC90 FFFA
35AC FFF6 1C43 2CFD 36F6 E074 FFFA 1FCA 14C0 1EE6 FFB0 1D5E FFD1 17CB DB6B 5BC3 FFFE 19F1 FFFB 179C 1477 2580 EC8D FFFA
35C0 FFF6 1C84 2CFC 36F3 E073 FFFA 1FC4 14EE 1EF2 FFB0 1D60 FFD1 1815 DBCC 5C00 FFFE 19F1 FFFB 1816 14F8 2580 EC8C FFFA
